t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1621086649,67,9981700,4672683,582090,10800,2983317,704378,4139600,000000,7680700,000000,9600200,000000,9961700,000000,9981700,000000,9981700,000000
1621086650,252,10133500,5024334,858686,800,3046276,247776,5279900,000000,7931400,000000,9358200,000000,9723000,000000,9981700,000000,10133500,000000
1621086651,452,10133500,5004222,865154,500,2986025,869772,5260000,000000,7514300,000000,9296600,000000,9666300,000000,9961700,000000,10133500,000000
1621086652,656,10133500,4977655,332550,500,2988896,928841,5248400,000000,7490700,000000,9289900,000000,9632500,000000,9843800,000000,10133500,000000
1621086653,862,10997300,4974129,489293,500,2946717,274121,5188100,000000,7451500,000000,9296600,000000,9635300,000000,9857900,000000,10997300,000000
1621086654,1051,18738800,4992857,074788,500,3037027,875781,5196600,000000,7452300,000000,9358200,000000,9799300,000000,10115500,000000,18738800,000000
1621086655,1239,47640300,5012453,756535,500,3343704,365679,5150000,000000,7451500,000000,9356700,000000,9930000,000000,10449800,000000,47640300,000000
1621086656,1430,47640300,5078650,412413,500,3562712,606264,5204100,000000,7452300,000000,9358200,000000,9961700,000000,10115500,000000,41683700,000000
1621086657,1624,47640300,5116088,859770,500,3565108,803222,5225500,000000,7490700,000000,9356700,000000,9961700,000000,10115500,000000,41683700,000000
1621086658,1832,47640300,5027641,072872,500,3572363,645531,5188700,000000,7393600,000000,9354400,000000,9930000,000000,10449800,000000,41683700,000000
1621086659,2037,41683700,4967095,957574,500,3306324,482291,5109800,000000,7367700,000000,9354400,000000,9856700,000000,10449800,000000,26742000,000000
1621086660,2253,41683700,4969575,873394,300,3287863,081546,5157400,000000,7361600,000000,9354400,000000,9785300,000000,10115500,000000,26742000,000000
1621086661,2471,41683700,4923212,682747,300,3257818,804648,5081500,000000,7291800,000000,9330600,000000,9785300,000000,10111200,000000,26742000,000000
1621086662,2683,26742000,4830501,596071,300,3054276,020383,5062300,000000,7188100,000000,9313200,000000,9759400,000000,10008400,000000,18806600,000000
1621086663,2875,26742000,4860877,241904,300,3055582,404044,5123300,000000,7291800,000000,9330100,000000,9759400,000000,10000000,000000,13446000,000000
1621086664,3082,26742000,4872367,649234,300,3070286,468008,5109800,000000,7353300,000000,9345700,000000,9759400,000000,10008400,000000,13446000,000000
1621086665,3289,26742000,4884751,104934,300,3089347,812012,5123300,000000,7367700,000000,9345700,000000,9730200,000000,10008400,000000,13446000,000000
